,DEPTH,CEMENT_FLAG,GR,GR_SHAPE,NEUT,RESD,TVD,V_mud,DTC,BS,CALI,DENS,Zone,Thickness,Lithofacies,Facies_code
0,376.5804,-999,-999,-999,-999,-999,369.6706,-999,-999,-999,-999,-999,-999,0,-999,-999
1,376.7328,-999,-999,-999,-999,-999,369.8204,-999,-999,-999,-999,-999,-999,0,-999,-999
2,376.8852,-999,-999,-999,-999,-999,369.9703,-999,-999,-999,-999,-999,-999,0,-999,-999
3,377.0376,-999,-999,-999,-999,-999,370.1201,-999,-999,-999,-999,-999,-999,0,-999,-999
4,377.19,-999,-999,-999,-999,-999,370.27,-999,-999,-999,-999,-999,-999,0,-999,-999
5,377.3424,-999,-999,-999,-999,-999,370.4198,-999,-999,-999,-999,-999,-999,0,-999,-999
6,377.4948,-999,-999,-999,-999,-999,370.5696,-999,-999,-999,-999,-999,-999,0,-999,-999
7,377.6472,-999,-999,-999,-999,-999,370.7194,-999,-999,-999,-999,-999,-999,0,-999,-999
8,377.7996,-999,-999,-999,-999,-999,370.8692,-999,-999,-999,-999,-999,-999,0,-999,-999
9,377.952,-999,-999,-999,-999,-999,371.0189,-999,-999,-999,-999,-999,-999,0,-999,-999
10,378.1044,-999,-999,-999,-999,-999,371.1687,-999,-999,-999,-999,-999,-999,0,-999,-999
11,378.2568,-999,-999,-999,-999,-999,371.3184,-999,-999,-999,-999,-999,-999,0,-999,-999
12,378.4092,-999,-999,-999,-999,-999,371.4682,-999,-999,-999,-999,-999,-999,0,-999,-999
13,378.5616,-999,-999,-999,-999,-999,371.6179,-999,-999,-999,-999,-999,-999,0,-999,-999
14,378.714,-999,-999,-999,-999,-999,371.7676,-999,-999,-999,-999,-999,-999,0,-999,-999
15,378.8664,-999,-999,-999,-999,-999,371.9173,-999,-999,-999,-999,-999,-999,0,-999,-999
16,379.0188,-999,-999,-999,-999,-999,372.067,-999,-999,-999,-999,-999,-999,0,-999,-999
17,379.1712,-999,-999,-999,-999,-999,372.2166,-999,-999,-999,-999,-999,-999,0,-999,-999
18,379.3236,-999,-999,-999,-999,-999,372.3663,-999,-999,-999,-999,-999,-999,0,-999,-999
19,379.476,-999,-999,-999,-999,-999,372.5159,-999,-999,-999,-999,-999,-999,0,-999,-999
20,379.6284,-999,-999,-999,-999,-999,372.6656,-999,-999,-999,-999,-999,-999,0,-999,-999
21,379.7808,-999,-999,-999,-999,-999,372.8152,-999,-999,-999,-999,-999,-999,0,-999,-999
22,379.9332,-999,-999,-999,-999,-999,372.9648,-999,-999,-999,-999,-999,-999,0,-999,-999
23,380.0856,-999,-999,-999,-999,-999,373.1144,-999,-999,-999,-999,-999,-999,0,-999,-999
24,380.238,-999,-999,-999,-999,-999,373.264,-999,-999,-999,-999,-999,-999,0,-999,-999
25,380.3904,-999,-999,-999,-999,-999,373.4135,-999,-999,-999,-999,-999,-999,0,-999,-999
26,380.5428,-999,-999,-999,-999,-999,373.5631,-999,-999,-999,-999,-999,-999,0,-999,-999
27,380.6952,-999,-999,-999,-999,-999,373.7127,-999,-999,-999,-999,-999,-999,0,-999,-999
28,380.8476,-999,-999,-999,-999,-999,373.8622,-999,-999,-999,-999,-999,-999,0,-999,-999
29,381,-999,-999,-999,-999,-999,374.0117,-999,-999,-999,-999,-999,-999,0,-999,-999
30,381.1524,-999,-999,-999,-999,-999,374.1612,-999,-999,-999,-999,-999,-999,0,-999,-999
31,381.3048,-999,-999,-999,-999,-999,374.3107,-999,-999,-999,-999,-999,-999,0,-999,-999
32,381.4572,-999,-999,-999,-999,-999,374.4602,-999,-999,-999,-999,-999,-999,0,-999,-999
33,381.6096,-999,-999,-999,-999,-999,374.6096,-999,-999,-999,-999,-999,-999,0,-999,-999
34,381.762,-999,-999,-999,-999,-999,374.7591,-999,-999,-999,-999,-999,-999,0,-999,-999
35,381.9144,-999,-999,-999,-999,-999,374.9085,-999,-999,-999,-999,-999,-999,0,-999,-999
36,382.0668,-999,-999,-999,-999,-999,375.0579,-999,-999,-999,-999,-999,-999,0,-999,-999
37,382.2192,-999,-999,-999,-999,-999,375.2072,-999,-999,-999,-999,-999,-999,0,-999,-999
38,382.3716,-999,-999,-999,-999,-999,375.3566,-999,-999,-999,-999,-999,-999,0,-999,-999
39,382.524,-999,-999,-999,-999,-999,375.5059,-999,-999,-999,-999,-999,-999,0,-999,-999
40,382.6764,-999,-999,-999,-999,-999,375.6552,-999,-999,-999,-999,-999,-999,0,-999,-999
41,382.8288,-999,-999,-999,-999,-999,375.8044,-999,-999,-999,-999,-999,-999,0,-999,-999
42,382.9812,-999,-999,-999,-999,-999,375.9537,-999,-999,-999,-999,-999,-999,0,-999,-999
43,383.1336,-999,-999,-999,-999,-999,376.1029,-999,-999,-999,-999,-999,-999,0,-999,-999
44,383.286,-999,-999,-999,-999,-999,376.2521,-999,-999,-999,-999,-999,-999,0,-999,-999
45,383.4384,-999,-999,-999,-999,-999,376.4013,-999,-999,-999,-999,-999,-999,0,-999,-999
46,383.5908,-999,-999,-999,-999,-999,376.5504,-999,-999,-999,-999,-999,-999,0,-999,-999
47,383.7432,-999,-999,-999,-999,-999,376.6995,-999,-999,-999,-999,-999,-999,0,-999,-999
48,383.8956,-999,-999,-999,-999,-999,376.8486,-999,-999,-999,-999,-999,-999,0,-999,-999
49,384.048,-999,-999,-999,-999,-999,376.9977,-999,-999,-999,-999,-999,-999,0,-999,-999
50,384.2004,-999,-999,-999,-999,-999,377.1467,-999,-999,-999,-999,-999,-999,0,-999,-999
51,384.3528,-999,-999,-999,-999,-999,377.2957,-999,-999,-999,-999,-999,-999,0,-999,-999
52,384.5052,-999,-999,-999,-999,-999,377.4447,-999,-999,-999,-999,-999,-999,0,-999,-999
53,384.6576,-999,-999,-999,-999,-999,377.5937,-999,-999,-999,-999,-999,-999,0,-999,-999
54,384.81,-999,-999,-999,-999,-999,377.7426,-999,-999,-999,-999,-999,-999,0,-999,-999
55,384.9624,-999,-999,-999,-999,-999,377.8915,-999,-999,-999,-999,-999,-999,0,-999,-999
56,385.1148,-999,-999,-999,-999,-999,378.0404,-999,-999,-999,-999,-999,-999,0,-999,-999
57,385.2672,-999,-999,-999,-999,-999,378.1893,-999,-999,-999,-999,-999,-999,0,-999,-999
58,385.4196,-999,-999,-999,-999,-999,378.3381,-999,-999,-999,-999,-999,-999,0,-999,-999
59,385.572,-999,-999,-999,-999,-999,378.4869,-999,-999,-999,-999,-999,-999,0,-999,-999
60,385.7244,-999,-999,-999,-999,-999,378.6357,-999,-999,-999,-999,-999,-999,0,-999,-999
61,385.8768,-999,-999,-999,-999,-999,378.7844,-999,-999,-999,-999,-999,-999,0,-999,-999
62,386.0292,-999,-999,-999,-999,-999,378.9332,-999,-999,-999,-999,-999,-999,0,-999,-999
63,386.1816,-999,-999,-999,-999,-999,379.0819,-999,-999,-999,-999,-999,-999,0,-999,-999
64,386.334,-999,-999,-999,-999,-999,379.2306,-999,-999,-999,-999,-999,-999,0,-999,-999
65,386.4864,-999,-999,-999,-999,-999,379.3792,-999,-999,-999,-999,-999,-999,0,-999,-999
66,386.6388,-999,-999,-999,-999,-999,379.5278,-999,-999,-999,-999,-999,-999,0,-999,-999
67,386.7912,-999,-999,-999,-999,-999,379.6764,-999,-999,-999,-999,-999,-999,0,-999,-999
68,386.9436,-999,-999,-999,-999,-999,379.825,-999,-999,-999,-999,-999,-999,0,-999,-999
69,387.096,-999,-999,-999,-999,-999,379.9735,-999,-999,-999,-999,-999,-999,0,-999,-999
70,387.2484,-999,-999,-999,-999,-999,380.122,-999,-999,-999,-999,-999,-999,0,-999,-999
71,387.4008,-999,-999,-999,-999,-999,380.2705,-999,-999,-999,-999,-999,-999,0,-999,-999
72,387.5532,-999,-999,-999,-999,-999,380.419,-999,-999,-999,-999,-999,-999,0,-999,-999
73,387.7056,-999,-999,-999,-999,-999,380.5674,-999,-999,-999,-999,-999,-999,0,-999,-999
74,387.858,-999,-999,-999,-999,-999,380.7158,-999,-999,-999,-999,-999,-999,0,-999,-999
75,388.0104,-999,-999,-999,-999,-999,380.8642,-999,-999,-999,-999,-999,-999,0,-999,-999
76,388.1628,-999,-999,-999,-999,-999,381.0125,-999,-999,-999,-999,-999,-999,0,-999,-999
77,388.3152,-999,-999,-999,-999,-999,381.1609,-999,-999,-999,-999,-999,-999,0,-999,-999
78,388.4676,-999,-999,-999,-999,-999,381.3091,-999,-999,-999,-999,-999,-999,0,-999,-999
79,388.62,-999,-999,-999,-999,-999,381.4574,-999,-999,-999,-999,-999,-999,0,-999,-999
80,388.7724,-999,-999,-999,-999,-999,381.6056,-999,-999,-999,-999,-999,-999,0,-999,-999
81,388.9248,-999,-999,-999,-999,-999,381.7538,-999,-999,-999,-999,-999,-999,0,-999,-999
82,389.0772,-999,-999,-999,-999,-999,381.902,-999,-999,-999,-999,-999,-999,0,-999,-999
83,389.2296,-999,-999,-999,-999,-999,382.0502,-999,-999,-999,-999,-999,-999,0,-999,-999
84,389.382,-999,-999,-999,-999,-999,382.1983,-999,-999,-999,-999,-999,-999,0,-999,-999
85,389.5344,-999,-999,-999,-999,-999,382.3464,-999,-999,-999,-999,-999,-999,0,-999,-999
86,389.6868,-999,-999,-999,-999,-999,382.4944,-999,-999,-999,-999,-999,-999,0,-999,-999
87,389.8392,-999,-999,-999,-999,-999,382.6425,-999,-999,-999,-999,-999,-999,0,-999,-999
88,389.9916,-999,-999,-999,-999,-999,382.7905,-999,-999,-999,-999,-999,-999,0,-999,-999
89,390.144,-999,-999,-999,-999,-999,382.9385,-999,-999,-999,-999,-999,-999,0,-999,-999
90,390.2964,-999,-999,-999,-999,-999,383.0864,-999,-999,-999,-999,-999,-999,0,-999,-999
91,390.4488,-999,-999,-999,-999,-999,383.2343,-999,-999,-999,-999,-999,-999,0,-999,-999
92,390.6012,-999,-999,-999,-999,-999,383.3822,-999,-999,-999,-999,-999,-999,0,-999,-999
93,390.7536,-999,-999,-999,-999,-999,383.5301,-999,-999,-999,-999,-999,-999,0,-999,-999
94,390.906,-999,-999,-999,-999,-999,383.6779,-999,-999,-999,-999,-999,-999,0,-999,-999
95,391.0584,-999,-999,-999,-999,-999,383.8257,-999,-999,-999,-999,-999,-999,0,-999,-999
96,391.2108,-999,-999,-999,-999,-999,383.9735,-999,-999,-999,-999,-999,-999,0,-999,-999
97,391.3632,-999,-999,-999,-999,-999,384.1212,-999,-999,-999,-999,-999,-999,0,-999,-999
98,391.5156,-999,-999,-999,-999,-999,384.2689,-999,-999,-999,-999,-999,-999,0,-999,-999
99,391.668,-999,-999,-999,-999,-999,384.4166,-999,-999,-999,-999,-999,-999,0,-999,-999
100,391.8204,-999,-999,-999,-999,-999,384.5642,-999,-999,-999,-999,-999,-999,0,-999,-999
101,391.9728,-999,-999,-999,-999,-999,384.7119,-999,-999,-999,-999,-999,-999,0,-999,-999
102,392.1252,-999,-999,-999,-999,-999,384.8595,-999,-999,-999,-999,-999,-999,0,-999,-999
103,392.2776,-999,-999,-999,-999,-999,385.0071,-999,-999,-999,-999,-999,-999,0,-999,-999
104,392.43,-999,-999,-999,-999,-999,385.1546,-999,-999,-999,-999,-999,-999,0,-999,-999
105,392.5824,-999,-999,-999,-999,-999,385.3022,-999,-999,-999,-999,-999,-999,0,-999,-999
106,392.7348,-999,-999,-999,-999,-999,385.4497,-999,-999,-999,-999,-999,-999,0,-999,-999
107,392.8872,-999,-999,-999,-999,-999,385.5972,-999,-999,-999,-999,-999,-999,0,-999,-999
108,393.0396,-999,-999,-999,-999,-999,385.7447,-999,-999,-999,-999,-999,-999,0,-999,-999
109,393.192,-999,-999,-999,-999,-999,385.8921,-999,-999,-999,-999,-999,-999,0,-999,-999
110,393.3444,-999,-999,-999,-999,-999,386.0396,-999,-999,-999,-999,-999,-999,0,-999,-999
111,393.4968,-999,-999,-999,-999,-999,386.187,-999,-999,-999,-999,-999,-999,0,-999,-999
112,393.6492,-999,-999,-999,-999,-999,386.3344,-999,-999,-999,-999,-999,-999,0,-999,-999
113,393.8016,-999,-999,-999,-999,-999,386.4818,-999,-999,-999,-999,-999,-999,0,-999,-999
114,393.954,-999,-999,-999,-999,-999,386.6292,-999,-999,-999,-999,-999,-999,0,-999,-999
115,394.1064,-999,-999,-999,-999,-999,386.7765,-999,-999,-999,-999,-999,-999,0,-999,-999
116,394.2588,-999,-999,-999,-999,-999,386.9238,-999,-999,-999,-999,-999,-999,0,-999,-999
117,394.4112,-999,-999,-999,-999,-999,387.0711,-999,-999,-999,-999,-999,-999,0,-999,-999
118,394.5636,-999,-999,-999,-999,-999,387.2184,-999,-999,-999,-999,-999,-999,0,-999,-999
119,394.716,-999,-999,-999,-999,-999,387.3657,-999,-999,-999,-999,-999,-999,0,-999,-999
120,394.8684,-999,-999,-999,-999,-999,387.5129,-999,-999,-999,-999,-999,-999,0,-999,-999
121,395.0208,-999,-999,-999,-999,-999,387.6602,-999,-999,-999,-999,-999,-999,0,-999,-999
122,395.1732,-999,-999,-999,-999,-999,387.8074,-999,-999,-999,-999,-999,-999,0,-999,-999
123,395.3256,-999,-999,-999,-999,-999,387.9545,-999,-999,-999,-999,-999,-999,0,-999,-999
124,395.478,-999,-999,-999,-999,-999,388.1017,-999,-999,-999,-999,-999,-999,0,-999,-999
125,395.6304,-999,-999,-999,-999,-999,388.2489,-999,-999,-999,-999,-999,-999,0,-999,-999
126,395.7828,-999,-999,-999,-999,-999,388.396,-999,-999,-999,-999,-999,-999,0,-999,-999
