Depth,BS,CALI,DENS,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,TEMP,TENS,TVD,V_mud
289.2552,8.5,9.3842,2.2259,136.6417,113.5292,0.357928,2.8925,26.498,20.8901,9.358,-296.5144,28.7125,644.0383,289.2230024,0.973258182
289.4076,8.5,9.3988,2.2199,135.9677,111.761,0.354678,2.8961,28.4313,22.2245,9.5718,-296.659,28.7144,642.6346,289.3753485,0.941109091
289.56,8.5,9.3621,2.2102,135.2626,110.8919,0.36334,2.9313,29.9822,23.2885,9.7435,-296.9185,28.7164,641.4175,289.5276944,0.925307273
289.7124,8.5,9.334,2.2066,134.7319,110.1784,0.37575,2.9456,30.7577,23.7712,9.7948,-297.1919,28.7183,641.0246,289.6800402,0.912334545
289.8648,8.5,9.3427,2.2059,134.4792,109.3093,0.404956,2.9494,30.7932,23.7127,9.7642,-297.5166,28.7203,642.4693,289.8323859,0.896532727
290.0172,8.5,9.3524,2.2029,134.4585,106.6764,0.423609,2.9316,30.1221,23.1383,9.6829,-297.852,28.7222,644.629,289.9847314,0.848661818
290.1696,8.5,9.3654,2.2022,134.7249,104.9691,0.401555,2.8807,29.153,22.3664,9.6143,-298.1145,28.7242,644.9158,290.1370768,0.81762
290.322,8.5,9.4413,2.2073,135.2375,107.817,0.378268,2.8566,28.6482,21.9891,9.5893,-298.3209,28.7262,643.7391,290.289422,0.8694
290.4744,8.5,9.5737,2.2074,135.6393,111.3092,0.367598,2.8604,29.2619,22.4805,9.6612,-298.5117,28.7281,641.7007,290.4417671,0.932894545
290.6268,8.5,9.6182,2.2037,135.709,109.3946,0.36396,2.8878,30.3273,23.356,9.9035,-298.7136,28.7301,641.3806,290.5941121,0.898083636
290.7792,8.5,9.5016,2.2025,135.6321,108.3367,0.369069,2.8968,30.4974,23.6347,10.1615,-298.8546,28.732,643.0862,290.7464569,0.878849091
290.9316,8.5,9.3539,2.2028,135.4596,110.1682,0.378812,2.8882,29.8785,23.3305,10.1597,-298.8786,28.734,643.6943,290.8988016,0.912149091
